Área,metros_cubiertos,ambientes,pisos,pileta,lat,lon,edad,tipo_depto,tipo_ph,precio
226.6871206262295,93.17899484930842,9,3.0,1,-34.822092434256106,-58.28275912986972,28.881102044507653,False,False,30080.067654994968
224.0532552151175,146.62658213382855,10,3.0,0,-34.81702543136819,-58.30574565566478,32.50391231009856,False,False,15108.630816747787
63.913020952525805,686.4203944708415,6,1.0,0,40.73417493459655,-73.95649680121866,6.017775416348864,True,False,198884.78183909273
56.76829575403393,54.06830000679322,5,1.0,0,-34.77317993614361,-58.210999121103846,12.487105059249528,True,False,9176.134158438634
219.14867768930137,101.4426663121202,10,3.0,1,-34.78912522881824,-58.204393735986216,61.989740506661626,False,False,82019.24785433579
63.26075901374605,673.2670709690065,3,1.0,0,40.786883380895326,-74.00978115109311,12.35618766222508,True,False,191212.39757541465
74.568115937985,71.77011963919882,5,1.0,0,-34.70477128461765,-58.262890282252215,4.950619045704802,True,False,7511.171753129561
104.45023892478503,809.499591218385,8,2.0,0,40.776477428722295,-74.02779957174859,22.8922546413034,False,True,364555.23660050053
72.72931709617012,777.792081250184,6,1.0,0,40.700790189107714,-74.02608375640898,7.465291476274679,True,False,183340.1572691123
54.2148345614301,52.61265864460006,2,1.0,0,-34.7762672095857,-58.208594751206434,12.703721687170882,True,False,18946.468962819818
62.80792426293986,665.8565449780973,4,1.0,0,40.804433727822115,-74.00716442959468,8.804009909700476,True,False,294686.0357967816
221.6990406692767,156.24424275491768,6,2.0,1,-34.775208727414416,-58.24543767325861,41.991151951999335,False,False,40767.05045822432
248.35029591338872,140.0610683851544,8,3.0,0,-34.689751554282324,-58.2185061749386,64.32082904616601,False,False,28447.53437451223
185.2840877740048,90.86171465259346,9,3.0,0,-34.767598492391244,-58.20109250478065,44.1487160956108,False,False,73116.56537252018
78.44372838506011,809.9059499182576,9,1.0,0,40.68822941535815,-73.96749196090742,7.491551769162853,True,False,124535.43663321817
68.28845901109958,67.49660837519806,7,1.0,0,-34.77512377931157,-58.20523303715454,22.8922546413034,True,False,17848.677818236705
69.43003386676828,719.5891215032293,6,1.0,0,40.6896655368021,-74.00659502970922,10.143909751453728,True,False,165628.27404630766
134.45327350546393,113.66023510055432,9,1.0,0,-34.80423504624035,-58.222961475358744,20.289858871096587,False,True,1732.4933397118705
63.48254402084903,668.3763807375395,4,1.0,0,40.68328418592964,-74.00730161711826,3.973858188343561,True,False,99588.7764059572
225.85090638279576,134.7005177976552,10,3.0,0,-34.73863522961719,-58.262268167146,36.263723668964424,False,False,34345.12085943004
223.85195731140092,138.9676783231999,4,1.0,0,-34.81280609941449,-58.29445735313324,18.882493960852305,False,False,185.04179369707697
210.03658605798464,108.67527818560217,6,2.0,1,-34.8264240639157,-58.28973398271713,63.99180297986812,False,False,27634.561304981384
62.20621809267133,659.6094703015805,4,1.0,0,40.7702191063143,-74.00744283716558,5.615728413870725,True,False,221866.00259584424
275.0937681346842,204.64745275458105,10,3.0,1,-34.80034261218497,-58.173114562867,65.50331931843371,False,False,42609.112382290186
64.50872360056418,63.02673002336178,4,1.0,0,-34.70801236333288,-58.26391460676636,8.534805479737486,True,False,8468.480235994242
214.08000913285684,166.47214984361267,10,3.0,0,-34.85909161382839,-58.27996154300214,56.98285211864382,False,False,11210.40555903602
195.5059083107388,141.3778251860436,8,3.0,1,-34.710055775946564,-58.29237618053797,6.304292103590758,False,False,8327.0484735332
66.56882175935002,712.1121454272543,4,1.0,0,40.776082673251615,-74.00570180704914,3.3625533087348227,True,False,231637.72873853103
74.00486382488883,782.3133740300891,10,1.0,0,40.7600772757921,-73.96310140549058,4.903712584949747,True,False,188611.43413169528
77.6170185105558,833.8744389973673,5,1.0,0,40.75027528277607,-73.92390039977158,14.887389191244129,True,False,130669.24365196878
73.74173779434392,757.3426832214324,5,1.0,0,40.76274716282099,-74.0345592167538,14.989117968334584,True,False,200334.22863505865
65.31246607990866,683.2569125806191,6,1.0,0,40.67193289782359,-74.04069763047976,4.000588667346384,True,False,111471.63452741274
251.24012591346164,103.37883721865468,6,2.0,1,-34.79367581545606,-58.214838048319926,53.04002911705497,False,False,93252.45338820868
67.68182074513568,717.8121926566087,8,1.0,0,40.81968053860935,-73.97410284888416,6.715969185124758,True,False,197389.11319832783
